,C=O,C(CO)=O,C(O)=CO
C=O,1.0,0.9527297541937579,0.9811507045996145
C(CO)=O,0.9527297541937579,1.0,0.8760602206679711
C(O)=CO,0.9811507045996145,0.8760602206679711,1.0
